NU_ANO_CENSO,TP_RESPONSAVEL_REGULAMENTACAO,NO_ENTIDADE,NO_MUNICIPIO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,QT_MAT_INF_CRE
2021,3.0,ESCOLA MUNICIPAL SAO VICENTE DE PAULO,Fortaleza,AVENIDA ZEZE DIOGO,1247,CAIS DO PORTO,75.0
2021,3.0,ESCOLA MUNICIPAL JOSE CARLOS DE PINHO,Fortaleza,RUA LUIZA MIRANDA COELHO,595,ENGENHEIRO LUCIANO CAVALCANTE,40.0
2021,3.0,ESCOLA MUNICIPAL MINHA VIDA MEUS AMORES,Fortaleza,AVENIDA D,380 ET 2ª,PREFEITO JOSE WALTER,209.0
2021,3.0,ESCOLA MUNICIPAL TOMAZ MUNIZ,Fortaleza,RUA DOUTORA VANDA CIDADE,185,SIQUEIRA,214.0
2021,3.0,ESCOLA MUNICIPAL SANTA LUZIA,Fortaleza,RUA CORONEL FRANCISCO BENTO,16,DOM LUSTOSA,56.0
2021,3.0,ESCOLA MUNICIPAL PADRE CICERO ROMAO BATISTA,Fortaleza,RUA 114,460,CONJUNTO ESPERANCA,184.0
2021,3.0,ESCOLA MUNICIPAL SAO RAIMUNDO,Fortaleza,RUA ALEXANDRE BARAUNA,1450,RODOLFO TEOFILO,95.0
2021,3.0,ESCOLA MUNICIPAL FRANCISCO EDILSON PINHEIRO,Fortaleza,RUA N,35,VILA VELHA,116.0
2021,3.0,ESCOLA MUNICIPAL MARIA MARIZA MENDES DE CARVALHO,Fortaleza,RUA RAIMUNDO CUNHA,1174,VILA VELHA,116.0
2021,3.0,ESCOLA MUNICIPAL 11 DE AGOSTO,Fortaleza,RUA ALBERTO FERREIRA,1790,JARDIM IRACEMA,58.0
2021,3.0,ESCOLA MUNICIPAL HAROLDO JORGE BRAUN VIEIRA,Fortaleza,RUA LAURO VIEIRA CHAVES,2001,VILA UNIAO,38.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR GERARDO MILTON DE SA,Fortaleza,RUA VALE COSTA,S N,ANTONIO BEZERRA,94.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR CLODOMIR TEOFILO GIRAO,Fortaleza,TRAVESSA RUTILO,108,MESSEJANA,60.0
2021,3.0,ESCOLA MUNICIPAL MARIA DOLORES PETROLA DE MELO JORGE,Fortaleza,RUA PAULINO ROCHA,1000,GRANJA LISBOA,162.0
2021,3.0,ESCOLA MUNICIPAL JOAO HILDO DE CARVALHO FURTADO,Fortaleza,RUA JUVENCIO SALES,S N,MONDUBIM,170.0
2021,3.0,ESCOLA MUNICIPAL ALAIDE AUGUSTO DE OLIVEIRA,Fortaleza,RUA SETEMBRINA,525,CONJUNTO ESPERANCA,103.0
2021,3.0,ESCOLA MUNICIPAL AGOSTINHO MOREIRA E SILVA,Fortaleza,RUA PERI,20,BARRA DO CEARA,133.0
2021,3.0,ESCOLA MUNICIPAL ALDEIDES REGIS,Fortaleza,RUA IRINEU DE SOUSA,197,ALVARO WEYNE,96.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA MARIA ODNILRA CRUZ MOREIRA,Fortaleza,AVENIDA DAS ADENANTERAS,800,CIDADE 2000,139.0
2021,3.0,ESCOLA MUNICIPAL JOAO NUNES PINHEIRO,Fortaleza,AVENIDA F,550 ET 1ª,CONJUNTO CEARA,76.0
2021,3.0,ESCOLA MUNICIPAL ADALBERTO STUDART FILHO,Fortaleza,RUA DO CAMPO,25,PLANALTO AYRTON SENNA,76.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR EDILSON BRASIL SOAREZ,Fortaleza,AVENIDA I,S N,SIQUEIRA,171.0
